Plan,Cloud,Compute type,Instance,vCPU,Memory (GB),DBU/hour,Rate/hour,Instance_df_1,instanceFamily,instanceFamilyName,location,locationName,locationType,locationContinent,currentGeneration,supportedUsageClasses,processorArchitectures,processorClockSpeedInGhz,processorManufacturer,processor,processorFeatures,vCpus,vCpuCores,memorySizeInMiB,storage,onDemandLinuxHr,onDemandLinuxMonth,spotLinuxHr,spotLinuxMonth,spotWindowsHr,spotWindowsMonth
Enterprise,AWS,All-Purpose Compute,m4.large,2,8,0.4,0.26,m4.large,m4,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,0,"on-demand, spot",x86_64,2.4,Intel,Intel Xeon E5-2676 v3 (Haswell),Intel AVX; Intel AVX2; Intel Turbo,2,1,8192,EBS only,0.1,73,0.0451,32.92,0.1105,80.67
Enterprise,AWS,All-Purpose Compute,m4.2xlarge,8,32,1.5,0.975,m4.2xlarge,m4,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,0,"on-demand, spot",x86_64,2.4,Intel,Intel Xeon E5-2676 v3 (Haswell),Intel AVX; Intel AVX2; Intel Turbo,8,4,32768,EBS only,0.4,292,0.1699,124.03,0.4257,310.76
Enterprise,AWS,All-Purpose Compute,m4.4xlarge,16,64,3,1.95,m4.4xlarge,m4,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,0,"on-demand, spot",x86_64,2.4,Intel,Intel Xeon E5-2676 v3 (Haswell),Intel AVX; Intel AVX2; Intel Turbo,16,8,65536,EBS only,0.8,584,0.298,217.54,0.8747,638.53
Enterprise,AWS,All-Purpose Compute,m4.10xlarge,40,160,8,5.2,m4.10xlarge,m4,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,0,"on-demand, spot",x86_64,2.4,Intel,Intel Xeon E5-2676 v3 (Haswell),Intel AVX; Intel AVX2; Intel Turbo,40,20,163840,EBS only,2,1460,0.6627,483.77,2.1911,1599.5
Enterprise,AWS,All-Purpose Compute,m4.16xlarge,64,256,12,7.8,m4.16xlarge,m4,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,0,"on-demand, spot",x86_64,2.3,Intel,Intel Xeon E5-2686 v4 (Broadwell),Intel AVX; Intel AVX2; Intel Turbo,64,32,262144,EBS only,3.2,2336,1.2457,909.36,3.4963,2552.3
Enterprise,AWS,All-Purpose Compute,m5.large,2,8,0.34,0.221,m5.large,m5,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,2,1,8192,EBS only,0.096,70.08,0.0362,26.43,0.1101,80.37
Enterprise,AWS,All-Purpose Compute,m5.xlarge,4,16,0.69,0.4485,m5.xlarge,m5,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,4,2,16384,EBS only,0.192,140.16,0.0684,49.93,0.2197,160.38
Enterprise,AWS,All-Purpose Compute,m5.2xlarge,8,32,1.37,0.8905,m5.2xlarge,m5,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,8,4,32768,EBS only,0.384,280.32,0.1619,118.19,0.4395,320.83
Enterprise,AWS,All-Purpose Compute,m5.4xlarge,16,64,2.74,1.781,m5.4xlarge,m5,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,16,8,65536,EBS only,0.768,560.64,0.3307,241.41,0.8674,633.2
Enterprise,AWS,All-Purpose Compute,m5.8xlarge,32,128,5.48,3.562,m5.8xlarge,m5,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,32,16,131072,EBS only,1.536,1121.28,0.5261,384.05,1.7542,1280.57
Enterprise,AWS,All-Purpose Compute,m5.12xlarge,48,192,8.23,5.3495,m5.12xlarge,m5,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,48,24,196608,EBS only,2.304,1681.92,0.7237,528.3,2.4384,1780.03
Enterprise,AWS,All-Purpose Compute,m5.16xlarge,64,256,10.96,7.124,m5.16xlarge,m5,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,64,32,262144,EBS only,3.072,2242.56,0.9065,661.75,3.5132,2564.64
Enterprise,AWS,All-Purpose Compute,m5.24xlarge,96,384,16.46,10.699,m5.24xlarge,m5,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,96,48,393216,EBS only,4.608,3363.84,1.3351,974.62,5.2067,3800.89
Enterprise,AWS,All-Purpose Compute,m5a.large,2,8,0.31,0.2015,m5a.large,m5a,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,2.5,AMD,AMD EPYC 7571,AVX; AVX2; AMD Turbo,2,1,8192,EBS only,0.086,62.78,0.035,25.55,0.1081,78.91
Enterprise,AWS,All-Purpose Compute,m5a.xlarge,4,16,0.61,0.3965,m5a.xlarge,m5a,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,2.5,AMD,AMD EPYC 7571,AVX; AVX2; AMD Turbo,4,2,16384,EBS only,0.172,125.56,0.0676,49.35,0.2155,157.31
Enterprise,AWS,All-Purpose Compute,m5a.2xlarge,8,32,1.23,0.7995,m5a.2xlarge,m5a,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,2.5,AMD,AMD EPYC 7571,AVX; AVX2; AMD Turbo,8,4,32768,EBS only,0.344,251.12,0.1375,100.38,0.4271,311.78
Enterprise,AWS,All-Purpose Compute,m5a.4xlarge,16,64,2.46,1.599,m5a.4xlarge,m5a,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,2.5,AMD,AMD EPYC 7571,AVX; AVX2; AMD Turbo,16,8,65536,EBS only,0.688,502.24,0.2935,214.25,0.8501,620.57
Enterprise,AWS,All-Purpose Compute,m5a.8xlarge,32,128,4.91,3.1915,m5a.8xlarge,m5a,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,2.5,AMD,AMD EPYC 7571,AVX; AVX2; AMD Turbo,32,16,131072,EBS only,1.376,1004.48,0.5672,414.06,1.7133,1250.71
Enterprise,AWS,All-Purpose Compute,m5a.12xlarge,48,192,7.37,4.7905,m5a.12xlarge,m5a,General purpose,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,2.5,AMD,AMD EPYC 7571,AVX; AVX2; AMD Turbo,48,24,196608,EBS only,2.064,1506.72,0.7412,541.08,2.5849,1886.98
